

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.004  000.004: --- VIM STARTING ---
001.546  001.542: Allocated generic buffers
001.563  000.017: GUI prepared
001.564  000.001: clipboard setup
001.568  000.004: window checked
002.533  000.965: inits 1
002.536  000.003: parsing arguments
002.537  000.001: expanding arguments
002.548  000.011: shell init
002.594  000.046: inits 2
002.798  000.204: init highlight
009.095  001.851  001.851: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/syncolor.vim
009.247  002.586  000.735: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/synload.vim
017.030  000.274  000.274: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/autoload/paste.vim
018.800  003.232  002.958: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/menu.vim
018.819  008.979  005.747: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/filetype.vim
018.878  013.004  001.439: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/syntax.vim
019.056  000.034  000.034: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/filetype.vim
019.866  000.238  000.238: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/ftplugin.vim
020.765  000.296  000.296: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/indent.vim
020.840  017.881  004.309: sourcing $VIM/vimrc
021.744  000.379  000.379: sourcing $VIMRUNTIME/macmap.vim
024.876  000.162  000.162: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/syncolor.vim
025.321  000.142  000.142: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/syncolor.vim
025.602  000.140  000.140: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/syncolor.vim
025.774  001.635  001.191: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/colors/murphy.vim
030.871  000.344  000.344: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/nosyntax.vim
031.637  000.157  000.157: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/syncolor.vim
032.026  000.118  000.118: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/syncolor.vim
032.312  000.142  000.142: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/syntax/syncolor.vim
032.483  001.300  000.883: sourcing /private/var/containers/Bundle/Application/EAEEFF97-571A-4CBB-8641-20E203B29FF0/iVim.app/runtime/colors/murphy.vim
