

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.003  000.003: --- VIM STARTING ---
000.061  000.058: Allocated generic buffers
000.063  000.002: GUI prepared
000.064  000.001: clipboard setup
000.067  000.003: window checked
000.307  000.240: inits 1
000.310  000.003: parsing arguments
000.310  000.000: expanding arguments
000.321  000.011: shell init
000.342  000.021: inits 2
000.449  000.107: init highlight
003.298  001.250  001.250: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/syntax/syncolor.vim
003.418  001.818  000.568: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/syntax/synload.vim
009.122  000.278  000.278: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/autoload/paste.vim
010.729  002.591  002.313: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/menu.vim
010.750  007.133  004.542: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/filetype.vim
010.805  009.668  000.717: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/syntax/syntax.vim
010.991  000.025  000.025: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/filetype.vim
011.518  000.312  000.312: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/ftplugin.vim
012.035  000.309  000.309: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/indent.vim
012.106  011.539  001.225: sourcing $VIM/vimrc
012.645  000.411  000.411: sourcing $VIMRUNTIME/macmap.vim
034.323  000.167  000.167: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/syntax/syncolor.vim
